Year,Escapement
1976,114296.1821
1977,196721.7712
1978,149692.0653
1979,137754.1244
1980,193299.5206
1981,189329.0284
1982,64476.593
1983,68216.42548
1984,93322.46171
1985,60359.45097
1986,50491.96771
1987,79434.10111
1988,74558.46443
1989,87204.63659
1990,99229.85225
1991,95848.74398
1992,129500.7212
1993,170520.7852
1994,280023.9311
1995,234419.3966
1996,201205.6808
1997,200241.7712
1998,83625.77832
1999,80208.79468
2000,57593.78963
2001,125636.5225
2002,145044.7276
2003,155761.7472
2004,282153.8168
2005,224465.7228
2006,279661.5512
2007,
2008,
2009,
2010,
2011,
2012,
2013,33576.46651
2014,67856.36012
2015,105667.5904
2016,101257.2326
