Year,Spawner,Recruit,cv_E
1981,106282,232127,0.24
1982,36244,82361,0.24
1983,56152,146348,0.23
1984,68931,170742,0.24
1985,39518,132178,0.23
1986,50494,228976,0.22
1987,34240,134374,0.22
1988,49113,156577,0.22
1989,61021,290936,0.22
1990,86489,101669,0.22
1991,52397,276784,0.25
1992,46369,81677,0.23
1993,56039,148486,0.19
1994,64913,63878,0.17
1995,71115,89387,0.16
1996,77020,94971,0.18
1997,84339,148688,0.15
1998,35966,149486,0.15
1999,46946,107185,0.20
2000,21909,104071,0.26
2001,69423,128020,0.17
2002,48397,58078,0.13
2003,95243,102865,0.09
2004,56069,56169,0.11
2005,69344,79088,0.02
2006,64372,59830,0.02
2007,36207,47505,0.02
2008,33922,43746,0.02
2009,65020,81238,0.01
2010,32215,54938,0.01
2011,47015,110400,0.02
2012,32323,91806,0.01
2013,28509,76450,0.01
2014,63392,77377,0.01
2015,82685,46745,0.01
